epoch,dice_coef,iou,loss,lr,precision_1,recall_1,val_dice_coef,val_iou,val_loss,val_precision_1,val_recall_1
10,0.6731465458869934,0.5282350182533264,0.3268536329269409,1e-04,0.7600923776626587,0.7018594145774841,0.5350683331489563,0.3666767179965973,0.4686392545700073,0.8449349403381348,0.4245188236236572
11,0.6770615577697754,0.5332842469215393,0.3229381740093231,1e-04,0.756203830242157,0.6981090307235718,0.6640147566795349,0.498037725687027,0.33737456798553467,0.8192548155784607,0.5971640944480896
12,0.6958627700805664,0.5544160008430481,0.3041374385356903,1e-04,0.7720000743865967,0.700931191444397,0.47014468908309937,0.3089250922203064,0.5339853763580322,0.8914059400558472,0.329342782497406
13,0.7096126675605774,0.5708024501800537,0.29038721323013306,1e-04,0.7826688289642334,0.7086091041564941,0.7122198939323425,0.5538289546966553,0.28918159008026123,0.8444743156433105,0.6457524299621582
14,0.7112633585929871,0.5733759999275208,0.2887365520000458,1e-04,0.7737084031105042,0.7151781916618347,0.545920193195343,0.37726840376853943,0.4580136239528656,0.8734621405601501,0.4053734242916107
15,0.7174547910690308,0.5802586078643799,0.2825450897216797,1e-04,0.7803170680999756,0.7086191177368164,0.5564718246459961,0.3871910274028778,0.44731593132019043,0.8813456296920776,0.4117211699485779
16,0.7349164485931396,0.6012951135635376,0.2650834918022156,1e-04,0.7982205748558044,0.7138675451278687,0.7044475078582764,0.5446373820304871,0.29605934023857117,0.8345209360122681,0.6264422535896301
17,0.7432429790496826,0.6118043661117554,0.2567572295665741,1e-04,0.8088404536247253,0.7118285894393921,0.7316676378250122,0.5776410698890686,0.26877230405807495,0.8311402201652527,0.6685574650764465
18,0.7532329559326172,0.6238624453544617,0.2467673420906067,1e-04,0.8169559240341187,0.7204576730728149,0.7842553853988647,0.6456689834594727,0.21521613001823425,0.7796193957328796,0.8183683753013611
19,0.7563603520393372,0.6275246739387512,0.24363960325717926,1e-04,0.8207682371139526,0.7219729423522949,0.7677870392799377,0.6238518357276917,0.2311236411333084,0.7085903286933899,0.8765415549278259
20,0.7674747705459595,0.6425641775131226,0.23252537846565247,1e-04,0.8243319392204285,0.7379449605941772,0.739760160446167,0.5878515243530273,0.26232826709747314,0.852936863899231,0.658350944519043
21,0.764183521270752,0.6385636925697327,0.23581649363040924,1e-04,0.8198222517967224,0.7265522480010986,0.7782869338989258,0.6377108693122864,0.22149254381656647,0.7333534359931946,0.8566308617591858
22,0.7713308930397034,0.6477240324020386,0.22866912186145782,1e-04,0.8265222907066345,0.735685408115387,0.7688280344009399,0.6254526376724243,0.23108290135860443,0.7943509817123413,0.7635596394538879
23,0.7754282355308533,0.6531835198402405,0.22457179427146912,1e-04,0.8329623341560364,0.7327696681022644,0.7836481332778931,0.6449276208877563,0.21628205478191376,0.7838854193687439,0.8031717538833618
24,0.7830639481544495,0.663402795791626,0.2169361561536789,1e-05,0.8483738899230957,0.7387614846229553,0.7690125703811646,0.6259147524833679,0.23260946571826935,0.8826263546943665,0.6843384504318237
25,0.7946522831916809,0.6775665283203125,0.20534782111644745,1e-05,0.8647124767303467,0.733303964138031,0.7741184830665588,0.6327354907989502,0.22750648856163025,0.8865329623222351,0.6902039647102356
26,0.7993670105934143,0.6836135983467102,0.20063304901123047,1e-05,0.8685018420219421,0.7376636862754822,0.7837821841239929,0.6456401348114014,0.2176569402217865,0.8850229978561401,0.7073244452476501
27,0.8027127981185913,0.6879543662071228,0.19728706777095795,1e-05,0.870576798915863,0.7415211200714111,0.7922226190567017,0.657080888748169,0.20903414487838745,0.8822808265686035,0.7236897349357605
28,0.8053820729255676,0.6914625763893127,0.19461806118488312,1e-05,0.8719643950462341,0.744773805141449,0.797724187374115,0.6646247506141663,0.20342443883419037,0.8807323575019836,0.7345109581947327
29,0.8077734112739563,0.6946681141853333,0.19222651422023773,1e-05,0.8731195330619812,0.7479701042175293,0.8006870746612549,0.6687202453613281,0.2004057765007019,0.8804382085800171,0.739881157875061
30,0.8099696040153503,0.6976232528686523,0.19003014266490936,1e-05,0.8741693496704102,0.7507945895195007,0.801763117313385,0.6702282428741455,0.19932612776756287,0.8810892105102539,0.741186261177063
31,0.8119677305221558,0.7003394961357117,0.1880323588848114,1e-05,0.874978244304657,0.7535839080810547,0.7999337315559387,0.6677228212356567,0.20122385025024414,0.8831864595413208,0.7362477779388428
32,0.8138960003852844,0.7029289603233337,0.18610380589962006,1e-05,0.8759421706199646,0.7558339238166809,0.8004642128944397,0.6684697270393372,0.2007160633802414,0.8841233253479004,0.736423671245575
33,0.8158113956451416,0.7055062651634216,0.18418866395950317,1e-05,0.8770191073417664,0.7577828168869019,0.8028494119644165,0.6717756986618042,0.19830694794654846,0.8846942186355591,0.7399195432662964
34,0.8176698684692383,0.7079940438270569,0.18233023583889008,1e-05,0.8780888915061951,0.7595654129981995,0.806579053401947,0.6769552826881409,0.19451361894607544,0.8844567537307739,0.7467131614685059
35,0.819566547870636,0.7105151414871216,0.18043334782123566,1e-05,0.8791661858558655,0.7613319754600525,0.8111429810523987,0.6833360195159912,0.18989165127277374,0.8836535811424255,0.7553123235702515
36,0.8214595317840576,0.7130274772644043,0.17854033410549164,1e-05,0.8802899718284607,0.7631790637969971,0.8158425092697144,0.6899548768997192,0.1851528137922287,0.8827467560768127,0.7645170092582703
37,0.8232435584068298,0.7153981924057007,0.17675656080245972,1e-05,0.8816739916801453,0.7645829916000366,0.8187520503997803,0.6940900683403015,0.18223799765110016,0.8823379278182983,0.769809365272522
38,0.8249408006668091,0.7176541686058044,0.17505915462970734,1e-05,0.8829889297485352,0.7658959627151489,0.8220272660255432,0.6987667083740234,0.17895886301994324,0.881799578666687,0.7760095000267029
39,0.826637864112854,0.719905436038971,0.17336204648017883,1e-05,0.8845342397689819,0.7669767737388611,0.8238652944564819,0.7014063000679016,0.1771300584077835,0.8821591734886169,0.7789220809936523
40,0.8282527327537537,0.7220069169998169,0.17174723744392395,1e-05,0.8861353397369385,0.7678758502006531,0.825971245765686,0.7044451236724854,0.17503836750984192,0.8826632499694824,0.7821449637413025
41,0.8299118280410767,0.7241729497909546,0.17008811235427856,1e-05,0.8876636028289795,0.7690096497535706,0.8292133808135986,0.7091278433799744,0.17172867059707642,0.8826662302017212,0.788205623626709
42,0.8314959406852722,0.7262480854988098,0.16850417852401733,1e-05,0.8890275955200195,0.7700548768043518,0.8309749960899353,0.7116836309432983,0.16992250084877014,0.8836090564727783,0.7904812693595886
43,0.8331831693649292,0.7284209728240967,0.1668168157339096,1e-05,0.8905210494995117,0.7709197402000427,0.8322498202323914,0.7135543823242188,0.1686621755361557,0.8848766088485718,0.7915276288986206
44,0.8348280787467957,0.7305766344070435,0.16517171263694763,1e-05,0.8916711807250977,0.7721770405769348,0.8335724472999573,0.7154718041419983,0.1673181802034378,0.8850480914115906,0.793733537197113
45,0.8364431858062744,0.7327604293823242,0.16355681419372559,1e-05,0.892743706703186,0.7733978033065796,0.8348943591117859,0.7173948287963867,0.16597719490528107,0.8865436911582947,0.7946069836616516
46,0.8376721143722534,0.7344287633895874,0.16232773661613464,1e-05,0.8934763073921204,0.7743343710899353,0.8375007510185242,0.7212375998497009,0.16337677836418152,0.8867320418357849,0.7991209030151367
47,0.8394604325294495,0.7368578314781189,0.16053973138332367,1e-05,0.8945321440696716,0.7758903503417969,0.8387300372123718,0.7230237126350403,0.1620737910270691,0.8874487280845642,0.8007060289382935
