epoch,dice_coef,iou,loss,lr,precision_1,recall_1,val_dice_coef,val_iou,val_loss,val_precision_1,val_recall_1
0,0.22708602249622345,0.13670675456523895,0.7729141712188721,1e-04,0.17627206444740295,0.9019488096237183,0.0654638409614563,0.03385162726044655,0.9339087605476379,0.03442875295877457,0.9869011044502258
1,0.35135987401008606,0.2252587527036667,0.6486400961875916,1e-04,0.5110267400741577,0.8073899745941162,0.20722196996212006,0.11572353541851044,0.7907661199569702,0.21583695709705353,0.9364566206932068
2,0.40581491589546204,0.26995351910591125,0.594184935092926,1e-04,0.5639987587928772,0.7550029158592224,0.40233421325683594,0.25217118859291077,0.5978635549545288,0.7690210342407227,0.5634720921516418
3,0.4552854299545288,0.31201478838920593,0.5447145700454712,1e-04,0.5997188091278076,0.7303068041801453,0.2562956213951111,0.14718346297740936,0.7416708469390869,0.17347949743270874,0.9602513909339905
4,0.5009424686431885,0.3534739911556244,0.4990575611591339,1e-04,0.6119177937507629,0.7294899225234985,0.29062893986701965,0.17059758305549622,0.7108826637268066,0.8589645624160767,0.2568625807762146
5,0.5404610633850098,0.38977017998695374,0.4595388174057007,1e-04,0.6566429138183594,0.7060525417327881,0.21837207674980164,0.12299312651157379,0.7831183671951294,0.8564013242721558,0.15261022746562958
6,0.5748933553695679,0.42385536432266235,0.42510658502578735,1e-04,0.6812548637390137,0.703720211982727,0.4816700518131256,0.31798967719078064,0.5200267434120178,0.8213108777999878,0.4817134141921997
7,0.6032181978225708,0.4526998698711395,0.39678165316581726,1e-04,0.6995553374290466,0.6996593475341797,0.6120845675468445,0.44166749715805054,0.38780733942985535,0.6919082403182983,0.7031098008155823
8,0.6192001700401306,0.46944960951805115,0.3807997703552246,1e-04,0.7088690996170044,0.6894593238830566,0.6146076321601868,0.44433555006980896,0.38527053594589233,0.7066994905471802,0.6631751656532288
9,0.6498388051986694,0.5021836757659912,0.3501611351966858,1e-04,0.7348231673240662,0.698150634765625,0.6450568437576294,0.4768534004688263,0.3559114933013916,0.8028035163879395,0.6154077053070068
